"date","count","min","max","mean","median","mode","standardDev"
"2018-12-12","645","1","4000000","132950","65500","35000","259244"
"2018-12-13","645","20","3400000","119127","63000","35000","198572"
"2018-12-14","554","45","3000000","126887","63000","65000","243076"
"2018-12-15","445","1000","1200000","116025","62000","95000","154052"
"2018-12-16","423","1","850000","113701","64900","15000","139919"
"2018-12-17","670","500","4000000","184603","91500","25000","350023"
"2018-12-18","535","650","2700000","136426","70000","45000","231498"
"2018-12-19","507","320","3285730","124395","61500","10000","237380"
"2018-12-20","464","2000","2000000","127981","68800","75000","201760"
"2018-12-21","399","100","1960000","125532","55000","30000","202843"
"2018-12-22","307","660","1150000","127381","77500","12000","150459"
"2018-12-23","228","10","1450000","112600","49724","25000","166310"
"2018-12-24","384","25","2000000","219235","121500","110000","295551"
"2018-12-25","167","1600","3000000","115151","55000","15000","267808"
"2018-12-26","438","10","700000","111926","62250","35000","129137"
"2018-12-27","453","1","799000","102147","55000","55000","131572"
"2018-12-28","440","600","2500000","121396","62025","15000","197920"
"2018-12-29","394","1","1600000","135902","85000","110000","169041"
"2018-12-30","239","900","1150000","137466","79344","230000","171633"
"2018-12-31","571","10","1300000","173994","119000","250000","175324"
"2019-01-01","239","10","1020000","90622","46500","18000","132490"
"2019-01-02","636","10","2500000","98103","47500","15000","166303"
"2019-01-03","776","10","1400000","115138","58000","20000","156843"
"2019-01-04","682","2","2217800","137554","75500","25000","191916"
"2019-01-05","458","63","2217800","128368","77330","30000","188722"
"2019-01-06","431","138","9000000","135869","61000","30000","617127"
"2019-01-07","992","171","9000000","154525","76250","30000","455695"
"2019-01-08","791","6","2644720","134962","67500","35000","247620"
"2019-01-09","792","1","7020000","134875","65447","45000","389673"
"2019-01-10","768","25","3622250","138095","73400","8500","222443"
"2019-01-11","568","450","2400000","111648","55250","45000","194315"
"2019-01-12","453","85","1700000","122398","64990","20000","167323"
"2019-01-13","324","5","750000","89516","50000","10000","111465"
"2019-01-14","881","10","2000000","139560","83900","25000","191113"
"2019-01-15","849","33","8241000","119912","64940","60000","314176"
"2019-01-16","818","7","7500000","130359","65650","35000","323588"
"2019-01-17","801","740","1500000","116937","77000","1950","141677"
"2019-01-18","582","270","7500000","136314","69945","15000","370749"
"2019-01-19","399","500","3000000","138986","80000","35000","245951"
"2019-01-20","290","45","1500000","88339","48950","35000","126256"
"2019-01-21","939","1","7000000","131790","73000","45000","278108"
"2019-01-22","653","22","3400000","109122","60000","14000","203562"
"2019-01-23","839","65","544500000","757928","67820","39780","18783974"
"2019-01-24","615","100","6500000","128451","70200","35000","308811"
"2019-01-25","502","6","5500000","121518","56000","35000","293372"
"2019-01-26","378","33","2500000","115853","74750","75000","191552"
"2019-01-27","281","20","1075000","83018","42000","10000","109685"
"2019-01-28","516","1","1800000","98714","48000","20000","158312"
"2019-01-29","609","1","135000000","344106","68000","20000","5464753"
"2019-01-30","625","10","106434050","297389","79000","35000","4252556"
"2019-01-31","596","8","1750000","130486","74000","35000","185238"
"2019-02-01","532","500","4000000","125708","68750","55000","230293"
"2019-02-02","470","1","1399500","134787","82450","30000","177828"
"2019-02-03","312","5","999000","86898","52283","25000","116690"
"2019-02-04","558","100","1960000","87829","50500","35000","155483"
"2019-02-05","741","13","4500000","106503","58000","20000","215746"
"2019-02-06","769","1","2217800","134995","80000","15000","172340"
"2019-02-07","774","3","1790000","132684","78250","15000","179744"
"2019-02-08","603","2","2500000","134970","65000","35000","245991"
"2019-02-09","383","7","1350000","111987","65500","65000","133390"
