"date","count","min","max","mean","median","mode","standardDev"
"2018-09-28","1","9999","9999","9999","9999","9999","0"
"2018-09-29","2","1","4000","2000","2000","1","1999"
"2018-09-30","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-02","1","6000","6000","6000","6000","6000","0"
"2018-10-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-05","1","2500","2500","2500","2500","2500","0"
"2018-10-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-07","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-08","1","28","28","28","28","28","0"
"2018-10-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-10","1","33000","33000","33000","33000","33000","0"
"2018-10-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-12","1","8000","8000","8000","8000","8000","0"
"2018-10-13","2","30","10000","5015","5015","30","4985"
"2018-10-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-15","1","80000","80000","80000","80000","80000","0"
"2018-10-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-18","1","41000","41000","41000","41000","41000","0"
"2018-10-19","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-23","1","170","170","170","170","170","0"
"2018-10-24","1","10","10","10","10","10","0"
"2018-10-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-26","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-10-27","1","7000","7000","7000","7000","7000","0"
"2018-10-28","2","100000","150000","125000","125000","100000","25000"
"2018-10-29","2","10000","10000","10000","10000","10000","0"
"2018-10-30","1","50000","50000","50000","50000","50000","0"
"2018-10-31","2","91","50000","25045","25045","91","24954"
"2018-11-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-02","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-03","1","1","1","1","1","1","0"
"2018-11-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-05","1","20000","20000","20000","20000","20000","0"
"2018-11-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-07","1","10000","10000","10000","10000","10000","0"
"2018-11-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-09","2","91","4500","2295","2295","91","2204"
"2018-11-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-12","2","26500","30000","28250","28250","26500","1750"
"2018-11-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-18","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-19","3","91","200","127","91","91","51"
"2018-11-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-21","2","3000","3000","3000","3000","3000","0"
"2018-11-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-25","3","10","800000","267670","3000","10","376416"
"2018-11-26","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-11-28","1","5000","5000","5000","5000","5000","0"
"2018-11-29","2","2000","2000","2000","2000","2000","0"
"2018-11-30","1","45000","45000","45000","45000","45000","0"
"2018-12-01","1","26000","26000","26000","26000","26000","0"
"2018-12-02","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-03","1","40000","40000","40000","40000","40000","0"
"2018-12-04","1","30000","30000","30000","30000","30000","0"
"2018-12-05","1","15000","15000","15000","15000","15000","0"
"2018-12-06","3","100000","100000","100000","100000","100000","0"
"2018-12-07","2","10000","33000","21500","21500","10000","11500"
"2018-12-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-09","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-10","5","91","100000","40836","4000","91","48327"
"2018-12-11","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-12","3","2","2","2","2","2","0"
"2018-12-13","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-15","1","55000","55000","55000","55000","55000","0"
"2018-12-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-18","1","850","850","850","850","850","0"
"2018-12-19","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-21","2","20000","30000","25000","25000","20000","5000"
"2018-12-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-25","1","5500","5500","5500","5500","5500","0"
"2018-12-26","1","25","25","25","25","25","0"
"2018-12-27","2","10000","10000","10000","10000","10000","0"
"2018-12-28","2","10","25","17","17","10","7"
"2018-12-29","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2018-12-30","1","5000","5000","5000","5000","5000","0"
"2018-12-31","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-01","6","700","700","700","700","700","0"
"2019-01-02","5","5000","1000000","223000","5000","5000","390238"
"2019-01-03","6","170","100000","83361","100000","100000","37204"
"2019-01-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-05","3","30000","110000","73333","80000","30000","32998"
"2019-01-06","3","2222","80000","31740","13000","2222","34407"
"2019-01-07","12","15000","100000","92916","100000","100000","23492"
"2019-01-08","2","10","1000","505","505","10","495"
"2019-01-09","1","500","500","500","500","500","0"
"2019-01-10","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-11","1","28000","28000","28000","28000","28000","0"
"2019-01-12","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-13","1","7000","7000","7000","7000","7000","0"
"2019-01-14","2","5","62000","31002","31002","5","30997"
"2019-01-15","2","10","34000","17005","17005","10","16995"
"2019-01-16","1","90","90","90","90","90","0"
"2019-01-17","3","123","8000","5374","8000","8000","3713"
"2019-01-18","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-19","1","60000","60000","60000","60000","60000","0"
"2019-01-20","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-21","3","900","160000","58633","15000","900","71907"
"2019-01-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-23","1","20000","20000","20000","20000","20000","0"
"2019-01-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-01-25","2","4000","15000","9500","9500","4000","5500"
"2019-01-26","1","35000","35000","35000","35000","35000","0"
"2019-01-27","3","100","100000","66700","100000","100000","47093"
"2019-01-28","1","35000","35000","35000","35000","35000","0"
"2019-01-29","2","50000","50000","50000","50000","50000","0"
"2019-01-30","1","65000","65000","65000","65000","65000","0"
"2019-01-31","3","170","25000","15056","20000","170","10722"
"2019-02-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-02","2","17000","60000","38500","38500","17000","21500"
"2019-02-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-04","1","1000","1000","1000","1000","1000","0"
"2019-02-05","2","20000","80000","50000","50000","20000","30000"
"2019-02-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-07","1","8000","8000","8000","8000","8000","0"
"2019-02-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-09","1","7000","7000","7000","7000","7000","0"
"2019-02-10","1","10000","10000","10000","10000","10000","0"
"2019-02-11","2","500","500","500","500","500","0"
"2019-02-12","2","8000","45000","26500","26500","8000","18500"
"2019-02-13","1","10000","10000","10000","10000","10000","0"
"2019-02-14","1","1","1","1","1","1","0"
"2019-02-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-17","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-18","1","50000","50000","50000","50000","50000","0"
"2019-02-19","1","3000","3000","3000","3000","3000","0"
"2019-02-20","2","1000","1000","1000","1000","1000","0"
"2019-02-21","2","1","35000","17500","17500","1","17499"
"2019-02-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-25","1","30000","30000","30000","30000","30000","0"
"2019-02-26","2","3000","73000","38000","38000","3000","35000"
"2019-02-27","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-02-28","1","13000","13000","13000","13000","13000","0"
"2019-03-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-02","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-03","4","2500","100000","53875","56500","100000","46274"
"2019-03-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-05","3","10000","25000","20000","25000","25000","7071"
"2019-03-06","2","5000","14000","9500","9500","5000","4500"
"2019-03-07","1","15000","15000","15000","15000","15000","0"
"2019-03-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-09","1","888","888","888","888","888","0"
"2019-03-10","6","100000","100000","100000","100000","100000","0"
"2019-03-11","13","5000","100000","82615","100000","100000","32435"
"2019-03-12","9","34500","100000","78166","100000","100000","30876"
"2019-03-13","13","50","100000","92311","100000","100000","26633"
"2019-03-14","1","28000","28000","28000","28000","28000","0"
"2019-03-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-17","1","50","50","50","50","50","0"
"2019-03-18","1","7000","7000","7000","7000","7000","0"
"2019-03-19","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-20","1","100000","100000","100000","100000","100000","0"
"2019-03-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-25","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-03-26","0","NaN","NaN","NaN","NaN","NaN","NaN"
