"date","count","min","max","mean","median","mode","standardDev"
"2019-04-06","3","100","2500","916","150","100","1119"
"2019-04-07","4","3","400","233","265","400","172"
"2019-04-08","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-04-09","6","100","380","231","190","100","105"
"2019-04-10","2","200","220","210","210","200","10"
"2019-04-11","3","100","220","166","180","100","49"
"2019-04-12","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-04-13","1","250","250","250","250","250","0"
"2019-04-14","2","30","290","160","160","30","130"
"2019-04-15","4","70","250","155","150","150","63"
"2019-04-16","1","35","35","35","35","35","0"
"2019-04-17","1","70","70","70","70","70","0"
"2019-04-18","1","150","150","150","150","150","0"
"2019-04-19","3","200","500","383","450","200","131"
"2019-04-20","4","50","1200","500","375","50","434"
"2019-04-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-04-22","1","240","240","240","240","240","0"
"2019-04-23","7","150","600","285","250","150","152"
"2019-04-24","3","100","550","300","250","100","187"
"2019-04-25","11","100","200","174","180","180","24"
"2019-04-26","1","40","40","40","40","40","0"
"2019-04-27","1","200","200","200","200","200","0"
"2019-04-28","2","50","80","65","65","50","15"
"2019-04-29","2","50","150","100","100","50","50"
"2019-04-30","2","100","250","175","175","100","75"
"2019-05-01","2","100","500","300","300","100","200"
"2019-05-02","3","200","1000","500","300","200","355"
"2019-05-03","3","120","300","214","222","120","73"
"2019-05-04","2","150","150","150","150","150","0"
"2019-05-05","4","90","250","172","175","250","77"
"2019-05-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-05-07","6","70","250","140","110","100","63"
"2019-05-08","4","50","200","137","150","200","64"
"2019-05-09","2","500","700","600","600","500","100"
"2019-05-10","4","80","385","171","110","80","124"
"2019-05-11","1","200","200","200","200","200","0"
"2019-05-12","2","200","200","200","200","200","0"
"2019-05-13","3","180","300","260","300","300","56"
"2019-05-14","2","1","1200","600","600","1","599"
"2019-05-15","3","100","200","150","150","100","40"
"2019-05-16","3","1","16000","5407","220","1","7490"
"2019-05-17","2","25","380","202","202","25","177"
"2019-05-18","1","100","100","100","100","100","0"
"2019-05-19","5","100","1200","340","150","100","430"
"2019-05-20","3","25","120","88","120","120","44"
"2019-05-21","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-05-22","6","70","350","200","200","200","81"
"2019-05-23","3","100","500","366","500","500","188"
"2019-05-24","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-05-25","1","150","150","150","150","150","0"
"2019-05-26","3","20","200","140","200","200","84"
"2019-05-27","4","7","250","131","135","7","97"
"2019-05-28","3","70","265","145","100","70","85"
"2019-05-29","2","100","150","125","125","100","25"
"2019-05-30","16","165","250","201","200","200","20"
"2019-05-31","3","100","700","326","180","100","265"
"2019-06-01","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-02","4","3","250","125","125","3","89"
"2019-06-03","1","200","200","200","200","200","0"
"2019-06-04","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-05","3","100","150","116","100","100","23"
"2019-06-06","10","180","800","254","180","180","185"
"2019-06-07","4","15","150","116","150","150","58"
"2019-06-08","4","180","150200","37700","210","180","64951"
"2019-06-09","2","100","100","100","100","100","0"
"2019-06-10","1","600","600","600","600","600","0"
"2019-06-11","3","20","150","90","100","20","53"
"2019-06-12","2","400","400","400","400","400","0"
"2019-06-13","3","150","2000","783","200","150","860"
"2019-06-14","6","100","280","205","200","200","55"
"2019-06-15","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-16","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-17","4","150","280","215","215","150","47"
"2019-06-18","3","160","400","253","200","160","104"
"2019-06-19","2","70","500","285","285","70","215"
"2019-06-20","1","900","900","900","900","900","0"
"2019-06-21","2","150","5900","3025","3025","150","2875"
"2019-06-22","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-23","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-06-24","1","200","200","200","200","200","0"
"2019-06-25","2","100","250","175","175","100","75"
"2019-06-26","3","1","120","43","10","1","54"
"2019-06-27","3","150","200","183","200","200","23"
"2019-06-28","4","170","400","252","220","220","87"
"2019-06-29","3","150","300","200","150","150","70"
"2019-06-30","3","40","250","163","200","40","89"
"2019-07-01","6","15","210","150","165","150","64"
"2019-07-02","4","150","300","187","150","150","64"
"2019-07-03","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-07-04","3","100","270","173","150","100","71"
"2019-07-05","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-07-06","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-07-07","4","150","200","187","200","200","21"
"2019-07-08","3","150","230","196","210","150","33"
"2019-07-09","4","150","200","175","175","150","25"
"2019-07-10","1","60","60","60","60","60","0"
"2019-07-11","2","200","230","215","215","200","15"
"2019-07-12","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-07-13","1","150","150","150","150","150","0"
"2019-07-14","0","NaN","NaN","NaN","NaN","NaN","NaN"
"2019-07-15","5","100","12500","2640","200","200","4930"
"2019-07-16","5","123","100000","20162","240","123","39918"
"2019-07-17","4","100","200","147","145","100","47"
"2019-07-18","1","15","15","15","15","15","0"
"2019-07-19","1","200","200","200","200","200","0"
"2019-07-20","9","50","180","165","180","180","40"
"2019-07-21","6","1","200","101","100","100","80"
"2019-07-22","4","85","300","176","160","85","82"
"2019-07-23","2","100","200","150","150","100","50"
"2019-07-24","1","200","200","200","200","200","0"
"2019-07-25","7","1","200","128","150","150","77"
"2019-07-26","3","180","250","220","230","180","29"
"2019-07-27","1","200","200","200","200","200","0"
"2019-07-28","1","150","150","150","150","150","0"
"2019-07-29","16","20","1100","243","200","200","225"
"2019-07-30","3","100","700","336","210","100","260"
"2019-07-31","3","70","180","116","100","70","46"
"2019-08-01","1","150","150","150","150","150","0"
"2019-08-02","3","100","200","143","130","100","41"
"2019-08-03","1","50","50","50","50","50","0"
