"date","count","min","max","mean","median","mode","standardDev"
"2018-11-04","193","1","7000","521","275","400","773"
"2018-11-05","492","1","20425","731","380","200","1312"
"2018-11-06","398","2","21000","788","350","250","1675"
"2018-11-07","361","3","18000","712","350","200","1496"
"2018-11-08","280","2","80000","1067","430","900","4893"
"2018-11-09","233","8","23770","1063","490","400","2270"
"2018-11-10","122","25","10000","1023","477","350","1565"
"2018-11-11","102","21","5900","615","435","600","767"
"2018-11-12","255","30","25906","1029","600","500","2048"
"2018-11-13","73","20","140450","2642","330","70","16273"
"2018-11-14","80","15","7916","945","240","100","1681"
"2018-11-15","127","1","24750","1242","352","250","2708"
"2018-11-16","201","2","63000","871","300","300","4495"
"2018-11-17","850","1","17932","889","520","350","1314"
"2018-11-18","135","15","3000","509","300","250","538"
"2018-11-19","396","15","25906","708","400","250","1546"
"2018-11-20","426","3","20425","770","350","250","1726"
"2018-11-21","374","1","950000","3735","398","450","49560"
"2018-11-22","397","1","13500","1012","420","350","1853"
"2018-11-23","282","4","7926","842","408","250","1299"
"2018-11-24","235","1","10444","721","350","250","1261"
"2018-11-25","189","6","6000","482","300","200","719"
"2018-11-26","462","1","35200","872","407","250","2223"
"2018-11-27","394","10","23490","938","389","250","1995"
"2018-11-28","433","1","55000","1481","424","250","4354"
"2018-11-29","391","15","30000","1115","425","300","2846"
"2018-11-30","363","7","30000","942","350","300","2344"
"2018-12-01","320","7","28750","951","350","200","2372"
"2018-12-02","173","20","10000","751","300","200","1424"
"2018-12-03","545","2","20463","841","350","250","1697"
"2018-12-04","524","2","31500","760","400","250","1660"
"2018-12-05","327","1","24300","698","370","450","1522"
"2018-12-06","349","4","8706","717","420","650","979"
"2018-12-07","337","9","28000","837","400","400","1967"
"2018-12-08","254","7","17360","952","411","450","2005"
"2018-12-09","204","10","55000","1264","397","500","4251"
"2018-12-10","524","1","227000","2030","400","250","16703"
"2018-12-11","377","4","18954","775","330","200","1549"
"2018-12-12","430","4","15600","882","390","200","1679"
"2018-12-13","399","7","11770","788","380","200","1255"
"2018-12-14","285","1","35500","916","420","250","2675"
"2018-12-15","203","10","7500","616","310","250","978"
"2018-12-16","201","1","13500","521","265","250","1092"
"2018-12-17","490","15","25906","965","500","600","1962"
"2018-12-18","304","2","24750","823","330","200","2122"
"2018-12-19","338","5","18000","886","420","500","1608"
"2018-12-20","273","7","9375","916","450","250","1346"
"2018-12-21","235","1","9375","835","400","250","1392"
"2018-12-22","170","20","7350","624","365","250","829"
"2018-12-23","196","10","5300","525","285","200","715"
"2018-12-24","303","14","42500","1003","500","500","2931"
"2018-12-25","102","8","5500","514","280","250","828"
"2018-12-26","164","8","7500","587","340","50","1045"
"2018-12-27","248","15","9656","649","350","250","1053"
"2018-12-28","331","2","50000","904","400","250","2848"
"2018-12-29","187","2","6840","633","390","250","879"
"2018-12-30","190","18","6000","549","312","250","732"
"2018-12-31","267","1","7500","992","636","600","1074"
"2019-01-01","135","6","3080","497","360","250","517"
"2019-01-02","384","6","2850000","8209","355","250","145220"
"2019-01-03","485","7","7926","760","380","200","1110"
"2019-01-04","469","5","35200","1093","340","250","2963"
"2019-01-05","315","1","250000","2340","400","400","14895"
"2019-01-06","208","1","40000","936","310","250","3374"
"2019-01-07","706","4","40000","950","403","300","2190"
"2019-01-08","481","1","17360","782","400","500","1291"
"2019-01-09","391","1","11500","743","370","350","1368"
"2019-01-10","394","8","50000000","127842","387","400","2515721"
"2019-01-11","344","3","11500","666","370","200","1118"
"2019-01-12","265","8","5545","607","341","250","778"
"2019-01-13","178","1","8437","625","350","400","912"
"2019-01-14","567","3","25300","925","495","600","1921"
"2019-01-15","484","2","52500","1379","450","600","4312"
"2019-01-16","426","7","155000","1497","405","250","8316"
"2019-01-17","437","12","42000","825","350","200","2522"
"2019-01-18","399","2","135000","1585","350","350","8534"
"2019-01-19","265","1","20580","796","400","250","1794"
"2019-01-20","202","1","9680","738","359","300","1231"
"2019-01-21","617","3","42500","944","450","500","2831"
"2019-01-22","398","1","12000","668","360","250","1106"
"2019-01-23","371","1","11770","782","350","200","1431"
"2019-01-24","379","10","26400","858","420","250","1702"
"2019-01-25","337","3","15075","928","420","450","1769"
"2019-01-26","237","10","20000","684","360","250","1511"
"2019-01-27","164","10","5000","486","285","250","658"
"2019-01-28","328","10","20000","689","320","250","1724"
"2019-01-29","399","1","260000","1394","400","250","13001"
"2019-01-30","371","4","9000","688","400","250","992"
"2019-01-31","356","2","15430","807","400","200","1335"
"2019-02-01","429","5","19600","761","375","200","1550"
"2019-02-02","239","1","8348","629","350","200","908"
"2019-02-03","207","6","123456","1399","330","250","8774"
"2019-02-04","389","4","10000","759","350","200","1172"
"2019-02-05","479","2","36750","888","360","350","2073"
"2019-02-06","565","3","15840","948","480","500","1678"
"2019-02-07","564","7","42500","976","500","500","2361"
"2019-02-08","328","1","45600","1329","440","300","3266"
"2019-02-09","271","1","189500","1508","400","450","11542"
"2019-02-10","210","10","7500","638","330","450","1086"
"2019-02-11","316","3","45600","1215","350","350","3339"
"2019-02-12","462","1","12703","892","400","250","1594"
"2019-02-13","348","2","45778","997","400","500","2968"
"2019-02-14","378","5","290000","1519","400","450","14893"
"2019-02-15","354","2","25906","940","425","450","2249"
"2019-02-16","274","3","25906","970","417","250","2314"
"2019-02-17","185","7","20463","686","300","200","1807"
"2019-02-18","369","2","21000","662","350","250","1399"
"2019-02-19","484","9","24750","883","382","350","1975"
"2019-02-20","395","7","330000","1715","400","350","16628"
"2019-02-21","374","3","20463","904","400","250","1720"
"2019-02-22","450","2","91000","1211","450","250","4777"
"2019-02-23","257","1","25200","922","400","450","2277"
"2019-02-24","195","7","18000","1203","360","300","2222"
"2019-02-25","322","1","9000000","28703","360","500","500730"
"2019-02-26","527","1","40000","1016","400","350","2935"
"2019-02-27","402","7","36080","1180","362","300","3340"
"2019-02-28","388","5","31500","988","350","200","2381"
"2019-03-01","491","10","25200","1488","432","300","3018"
"2019-03-02","302","2","6000","707","350","250","1003"
"2019-03-03","213","2","28666","717","350","350","2259"
"2019-03-04","359","7","33440","709","350","250","1897"
"2019-03-05","451","4","60000","1043","390","200","3526"
"2019-03-06","383","10","45500","1097","389","1000","3228"
"2019-03-07","371","10","15840","959","400","200","1654"
"2019-03-08","313","4","76600","1862","400","300","8025"
"2019-03-09","891","2","42500","1000","590","500","2034"
"2019-03-10","545","1","55000","1437","600","300","3672"
"2019-03-11","982","6","260000","1603","600","450","8935"
"2019-03-12","1702","2","1000000","2736","780","450","24831"
"2019-03-13","1342","1","360000","1891","700","500","10903"
"2019-03-14","429","1","23500","931","420","250","1745"
"2019-03-15","380","1","4760000","13955","450","450","243829"
"2019-03-16","287","1","100000","1503","341","250","7094"
"2019-03-17","233","8","34000","834","300","250","3021"
"2019-03-18","512","7","60900","1341","450","250","4115"
"2019-03-19","456","6","15840","879","430","200","1380"
"2019-03-20","429","10","12699","865","420","200","1421"
"2019-03-21","508","2","40000","1329","550","250","2849"
"2019-03-22","350","5","14000","1122","450","250","2020"
"2019-03-23","230","8","104000","1560","395","250","7312"
"2019-03-24","204","15","390000","2470","300","300","27220"
"2019-03-25","489","4","24750","960","480","500","2023"
"2019-03-26","445","3","19500","794","400","500","1554"
"2019-03-27","466","10","36080","1208","455","300","2965"
"2019-03-28","361","2","34100","1084","400","300","3010"
"2019-03-29","319","6","21508","1039","370","300","2224"
"2019-03-30","233","1","5845","742","330","250","1172"
"2019-03-31","180","7","4000","407","277","250","464"
"2019-04-01","329","13","15000","874","330","200","1715"
"2019-04-02","452","1","36091","1092","395","200","2862"
"2019-04-03","379","3","23585","899","400","200","2210"
"2019-04-04","374","3","330000","1721","400","200","17079"
"2019-04-05","378","1","255000","1619","400","300","13187"
"2019-04-06","269","7","255000","1778","350","300","15559"
"2019-04-07","178","1","6000","628","395","500","838"
"2019-04-08","322","3","20000","979","336","250","2068"
"2019-04-09","477","5","19170","898","400","300","1488"
"2019-04-10","351","1","6935","667","400","450","941"
"2019-04-11","352","1","32415","1057","350","350","2839"
"2019-04-12","351","5","10000","851","400","350","1308"
"2019-04-13","242","20","10400","843","380","300","1441"
"2019-04-14","203","3","8085","688","320","200","1124"
"2019-04-15","363","1","30000","815","330","250","1944"
"2019-04-16","432","6","15192","806","380","700","1248"
"2019-04-17","377","1","70030","1248","420","800","4891"
"2019-04-18","313","10","19350","1170","450","450","2097"
"2019-04-19","245","10","28050","1136","450","200","2589"
"2019-04-20","132","15","21000","820","410","250","1957"
"2019-04-21","159","5","10000","768","390","500","1398"
"2019-04-22","138","10","12390","716","300","250","1612"
"2019-04-23","415","10","21000","869","350","300","1743"
"2019-04-24","392","3","14271","841","380","450","1380"
"2019-04-25","399","12","15840","749","430","450","1175"
"2019-04-26","294","10","11016","896","450","500","1374"
"2019-04-27","233","11","28265","1062","350","200","2968"
"2019-04-28","155","8","3500","521","290","250","658"
"2019-04-29","314","1","9120","701","350","200","1085"
"2019-04-30","383","5","17139","906","360","250","1731"
"2019-05-01","290","10","11456","790","356","350","1324"
"2019-05-02","309","4","45600","1156","340","200","3637"
"2019-05-03","411","10","21200","924","470","500","1906"
"2019-05-04","284","7","11683","657","400","500","1100"
"2019-05-05","163","10","3942","600","350","300","768"
"2019-05-06","221","15","18000","703","350","200","1437"
"2019-05-07","459","7","25200","815","388","300","1647"
"2019-05-08","466","10","17600","807","336","200","1630"
"2019-05-09","373","2","34000","916","350","350","2397"
"2019-05-10","305","8","90000","1400","375","300","5977"
"2019-05-11","251","1","90000","1670","400","350","6460"
"2019-05-12","157","10","10094","698","300","250","1274"
"2019-05-13","365","5","19470","995","420","250","2287"
"2019-05-14","506","5","39000","1039","400","350","2640"
"2019-05-15","408","5","36400","951","441","450","2223"
"2019-05-16","394","1","35481","1102","452","500","2910"
"2019-05-17","362","3","15680","1050","450","450","1815"
"2019-05-18","227","8","9297","786","441","200","1122"
"2019-05-19","146","8","7000","700","405","250","902"
"2019-05-20","386","15","18400","936","360","250","1922"
"2019-05-21","437","2","36080","1021","400","300","2678"
"2019-05-22","396","2","45000","1064","427","250","2894"
"2019-05-23","379","1","40000","1216","450","450","3288"
"2019-05-24","257","20","6000","811","450","250","1022"
"2019-05-25","130","10","5100","586","300","250","832"
"2019-05-26","201","4","7660","915","400","600","1452"
"2019-05-27","351","12","15840","734","300","200","1321"
"2019-05-28","285","2","10000","633","330","250","1038"
"2019-05-29","271","1","20000","708","332","500","1748"
"2019-05-30","277","4","12500","851","340","300","1447"
"2019-05-31","251","4","42500","1128","330","200","4011"
"2019-06-01","159","9","194400","2913","300","350","21619"
"2019-06-02","129","15","3000","412","250","300","527"
"2019-06-03","319","10","1250000","4756","300","250","69885"
"2019-06-04","323","1","18133","649","330","200","1276"
"2019-06-05","314","1","23320","904","300","200","2112"
"2019-06-06","283","2","44000","1456","400","250","4341"
"2019-06-07","208","10","265000","2127","350","500","18352"
"2019-06-08","108","4","4185","600","320","50","742"
"2019-06-09","382","1","17381","997","438","350","1961"
"2019-06-10","596","1","49999","1182","450","350","3260"
"2019-06-11","580","10","41040","1647","560","250","3786"
"2019-06-12","357","1","41040","879","351","200","2583"
"2019-06-13","264","2","19320","1125","380","300","2501"
"2019-06-14","211","12","25840","962","346","250","2546"
"2019-06-15","105","10","3500","393","280","250","462"
"2019-06-16","104","10","10000","573","250","150","1160"
"2019-06-17","271","4","8543","770","330","250","1282"
"2019-06-18","295","3","14100","696","300","250","1451"
"2019-06-19","266","1","30000","730","280","200","2286"
"2019-06-20","216","3","17600","774","380","400","1485"
